Panther_lodging_Dianna,Panther_lodging_Dean,Panther_lodging_Cora,Panther_parking_Lorriane,Panther_parking_Asia,Panther_lodging_Kara,Panther_lodging_Drew,Panther_lodging_Ricky,Panther_parking_Clarence,Panther_parking_Adela,Panther_lodging_Heather,Panther_office_Daina,Panther_lodging_Arlene,Panther_office_Catherine,Panther_other_Bethel,Panther_lodging_Paulette,Panther_other_Iva,Panther_education_Richard,Panther_parking_Jody,Panther_office_Woodrow,Panther_education_Aurora,Panther_office_Kristen,Panther_office_Antonette,Panther_office_Valarie,Panther_lodging_Georgie,Panther_lodging_Shelia,Panther_lodging_Juliet,Panther_parking_Stanley,Panther_lodging_Bonnie,Panther_lodging_Aaron,Panther_education_Karri,Panther_lodging_Jacquelyn,Panther_education_Lacey,Panther_lodging_Marlyn,Panther_lodging_Janice,Panther_office_Larry,Panther_lodging_Otis,Final_Anomaly
0.0,0.0,0.0,7.8737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8541,0.0,7.1923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8541,0.0,1.1356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.541,1.1356,0.0,1
0.0,0.0,28.3906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8541,0.0,7.5708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,6.8137,1018.8052,0.0,0.0,6813.738,0.0,0.0,0.0,0.0,37.8541,0.0,0.0,0.0,0.0,378.541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.541,1.1356,0.0,1
0.0,0.0,3.4069,12.454,0.0,0.0,5299.5740000000005,0.0,0.0,0.0,0.0,37.8541,0.0,4.921,0.0,378.541,0.0,0.0,0.0,1.1356,0.0,0.0,8.3279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.541,0.0,378.541,1
0.0,0.0,4.5425,13.6653,0.0,0.1136,4542.492,4542.492,0.0,0.0,0.0,37.8541,0.0,3.4069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,11.4319,0.0,0.0,0.0,1892.705,0.0,0.0,0.0,37.8541,0.0,6.4352,0.0,0.0,0.0,0.0,0.0,1.5142,0.0,0.0,6792.9182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.541,1.5142,0.0,1
378.541,0.0,1.1356,11.9619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8541,0.0,0.0,0.0,0.0,0.0,0.0,7192.279,0.0,0.0,0.0,1861.6646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,11.3562,14.4224,0.0,0.6057,0.0,0.0,0.0,0.0,0.0,37.8541,0.0,0.0,0.0,0.0,0.0,0.0,378.541,0.0,0.0,0.0,7.1923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.541,1.1356,0.0,1
0.0,0.0,13.6275,15.4066,0.0,0.9842,0.0,0.0,0.0,0.0,0.0,37.8541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1356,0.0,0.0,6.0567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
